"","AGB_Change","Plot","PercentRemoved"
"1",-16506.9309520351,"ACDG_P015",25
"2",-47327.9345596783,"ACDG_P015",50
"3",-107772.050370581,"ACDG_P015",100
"4",-19265.1002170338,"ACDG_P015",25
"5",-59854.0196856064,"ACDG_P015",50
"6",-107873.365284196,"ACDG_P015",100
"7",-26588.22224674,"ACDG_P015",25
"8",-56473.3418123397,"ACDG_P015",50
"9",-115864.444835305,"ACDG_P015",100
"10",-40704.8372513688,"ACDG_P015",25
"11",-61240.1233471651,"ACDG_P015",50
"12",-112813.839497656,"ACDG_P015",100
"13",-22748.5667934306,"ACDG_P015",25
"14",-42574.9566415705,"ACDG_P015",50
"15",-109784.894166395,"ACDG_P015",100
"16",-20792.9575032458,"ACDG_P015",25
"17",-52278.6782887435,"ACDG_P015",50
"18",-112214.158884622,"ACDG_P015",100
"19",-27294.8555297737,"ACDG_P015",25
"20",-69236.5426607744,"ACDG_P015",50
"21",-105298.613935902,"ACDG_P015",100
"22",-36038.7872906789,"ACDG_P015",25
"23",-57922.2208687943,"ACDG_P015",50
"24",-111156.650909773,"ACDG_P015",100
"25",-13013.1365522423,"ACDG_P015",25
"26",-50283.1602766883,"ACDG_P015",50
"27",-103262.490255691,"ACDG_P015",100
"28",-25620.8436049132,"ACDG_P015",25
"29",-54123.2945372718,"ACDG_P015",50
"30",-93985.2182997596,"ACDG_P015",100
"31",-17310.1169125643,"ACDG_P015",25
"32",-39034.2661994138,"ACDG_P015",50
"33",-114023.439219978,"ACDG_P015",100
"34",-26975.1002808456,"ACDG_P015",25
"35",-54799.5732874917,"ACDG_P015",50
"36",-116079.667521559,"ACDG_P015",100
"37",-18421.8813187347,"ACDG_P015",25
"38",-61011.5581809779,"ACDG_P015",50
"39",-107897.021723965,"ACDG_P015",100
"40",-31211.0117552864,"ACDG_P015",25
"41",-46456.6487117646,"ACDG_P015",50
"42",-109885.479857042,"ACDG_P015",100
"43",-28475.5931170671,"ACDG_P015",25
"44",-55767.8100435003,"ACDG_P015",50
"45",-107597.143798737,"ACDG_P015",100
"46",-28386.6752091319,"ACDG_P015",25
"47",-61841.4589695729,"ACDG_P015",50
"48",-96449.7059621221,"ACDG_P015",100
"49",-27840.3818924275,"ACDG_P015",25
"50",-66376.6036371514,"ACDG_P015",50
"51",-106608.002270218,"ACDG_P015",100
"52",-35114.3809049587,"ACDG_P015",25
"53",-53341.1241561611,"ACDG_P015",50
"54",-102729.168199799,"ACDG_P015",100
"55",-33779.9540718897,"ACDG_P015",25
"56",-62500.5513454645,"ACDG_P015",50
"57",-121814.276471543,"ACDG_P015",100
"58",-13009.4462066614,"ACDG_P015",25
"59",-62540.0938268587,"ACDG_P015",50
"60",-100363.984743578,"ACDG_P015",100
"61",-37119.9704609229,"ACDG_P015",25
"62",-46429.3419236469,"ACDG_P015",50
"63",-97862.4351118889,"ACDG_P015",100
"64",-28565.5902583507,"ACDG_P015",25
"65",-43303.3952924093,"ACDG_P015",50
"66",-121835.360838787,"ACDG_P015",100
"67",-30666.2900450359,"ACDG_P015",25
"68",-68057.5328984498,"ACDG_P015",50
"69",-115188.509912193,"ACDG_P015",100
"70",-11819.9713653869,"ACDG_P015",25
"71",-65210.4783780237,"ACDG_P015",50
"72",-111295.591851085,"ACDG_P015",100
"73",-30461.6811490358,"ACDG_P015",25
"74",-44981.7382521459,"ACDG_P015",50
"75",-105789.046375535,"ACDG_P015",100
"76",-36724.8325787213,"ACDG_P015",25
"77",-40268.4971650087,"ACDG_P015",50
"78",-106767.982118995,"ACDG_P015",100
"79",-12876.0476547621,"ACDG_P015",25
"80",-46582.2258300233,"ACDG_P015",50
"81",-104992.572358864,"ACDG_P015",100
"82",-33156.705219605,"ACDG_P015",25
"83",-55535.9559955349,"ACDG_P015",50
