"","AGB_Change","Plot","PercentRemoved"
"1",-47604.1151400569,"ACDG_P015",25
"2",-37781.4126421424,"ACDG_P015",50
"3",-121037.56485488,"ACDG_P015",100
"4",-28679.7972034567,"ACDG_P015",25
"5",-62015.5565761239,"ACDG_P015",50
"6",-107825.02683454,"ACDG_P015",100
"7",-28590.5617167671,"ACDG_P015",25
"8",-62287.7821233409,"ACDG_P015",50
"9",-109147.090873105,"ACDG_P015",100
"10",-48186.3951531974,"ACDG_P015",25
"11",-47762.616488408,"ACDG_P015",50
"12",-115019.880881927,"ACDG_P015",100
"13",-21591.3605879919,"ACDG_P015",25
"14",-78282.0522273727,"ACDG_P015",50
"15",-108171.010028726,"ACDG_P015",100
"16",-25361.8640694127,"ACDG_P015",25
"17",-70131.9816541143,"ACDG_P015",50
"18",-111509.006977127,"ACDG_P015",100
"19",-52643.4224426818,"ACDG_P015",25
"20",-74403.8533133568,"ACDG_P015",50
"21",-120243.177140178,"ACDG_P015",100
"22",-28014.1059040479,"ACDG_P015",25
"23",-50222.0467816472,"ACDG_P015",50
"24",-109271.193288424,"ACDG_P015",100
"25",-43161.4168478679,"ACDG_P015",25
"26",-86778.7388087623,"ACDG_P015",50
"27",-106706.178871218,"ACDG_P015",100
"28",-19297.6893041908,"ACDG_P015",25
"29",-40414.1235771626,"ACDG_P015",50
"30",-118999.629865181,"ACDG_P015",100
"31",-31091.4517206651,"ACDG_P015",25
"32",-63061.441101221,"ACDG_P015",50
"33",-117219.218261582,"ACDG_P015",100
"34",-30675.7992681677,"ACDG_P015",25
"35",-84140.0821956137,"ACDG_P015",50
"36",-106798.16510614,"ACDG_P015",100
"37",-33009.0245381714,"ACDG_P015",25
"38",-73613.0215656018,"ACDG_P015",50
"39",-124980.748464763,"ACDG_P015",100
"40",-20559.1042242277,"ACDG_P015",25
"41",-57230.6230981061,"ACDG_P015",50
"42",-109451.023404873,"ACDG_P015",100
"43",-46543.6649022575,"ACDG_P015",25
"44",-62911.9583250462,"ACDG_P015",50
"45",-116653.070377493,"ACDG_P015",100
"46",-47517.9469979712,"ACDG_P015",25
"47",-71880.8279454244,"ACDG_P015",50
"48",-107498.473830746,"ACDG_P015",100
"49",-22566.6313040198,"ACDG_P015",25
"50",-80798.6653843652,"ACDG_P015",50
"51",-110597.990547338,"ACDG_P015",100
"52",-20695.5842343643,"ACDG_P015",25
"53",-76778.6213578675,"ACDG_P015",50
"54",-120813.745500985,"ACDG_P015",100
"55",-22307.2275860142,"ACDG_P015",25
"56",-69643.9693687193,"ACDG_P015",50
"57",-115541.663960824,"ACDG_P015",100
"58",-68389.1044204691,"ACDG_P015",25
"59",-65427.3469508924,"ACDG_P015",50
"60",-94248.0213737211,"ACDG_P015",100
"61",-37634.0938200253,"ACDG_P015",25
"62",-76703.6681637275,"ACDG_P015",50
"63",-105535.56028429,"ACDG_P015",100
"64",-45208.3786301051,"ACDG_P015",25
"65",-68526.3630037418,"ACDG_P015",50
"66",-110067.302797672,"ACDG_P015",100
"67",-26435.8497679833,"ACDG_P015",25
"68",-79850.5624299729,"ACDG_P015",50
"69",-116121.145787841,"ACDG_P015",100
"70",-37537.9752528837,"ACDG_P015",25
"71",-82077.7880374308,"ACDG_P015",50
"72",-102626.731978303,"ACDG_P015",100
"73",-53831.9041416326,"ACDG_P015",25
"74",-51088.8866487126,"ACDG_P015",50
"75",-116363.392143769,"ACDG_P015",100
"76",-54160.4178762308,"ACDG_P015",25
"77",-58514.4113734298,"ACDG_P015",50
"78",-121059.15174763,"ACDG_P015",100
"79",-47957.2510920342,"ACDG_P015",25
"80",-41610.1243251193,"ACDG_P015",50
"81",-109828.765523959,"ACDG_P015",100
"82",-48529.1885697425,"ACDG_P015",25
"83",-76282.9907313981,"ACDG_P015",50
"84",-111061.990735275,"ACDG_P015",100
"85",-22780.6109958082,"ACDG_P015",25
"86",-69728.8246028949,"ACDG_P015",50
"87",-109623.620980006,"ACDG_P015",100
"88",-49364.0393618808,"ACDG_P015",25
"89",-52824.9830876546,"ACDG_P015",50
"90",-114416.453635392,"ACDG_P015",100
"91",-34792.1423583378,"ACDG_P015",25
"92",-66126.424901682,"ACDG_P015",50
"93",-111409.42576026,"ACDG_P015",100
"94",-29691.408808513,"ACDG_P015",25
"95",-77268.8234597798,"ACDG_P015",50
"96",-118326.510907173,"ACDG_P015",100
"97",-52568.8132526369,"ACDG_P015",25
"98",-61972.0383330406,"ACDG_P015",50
"99",-111124.773997963,"ACDG_P015",100
"100",-21496.3292009427,"ACDG_P015",25
"101",-31719.0123383285,"ACDG_P015",50
"102",-120684.557362227,"ACDG_P015",100
"103",-49621.3326823158,"ACDG_P015",25
"104",-73257.447525328,"ACDG_P015",50
"105",-114972.12608674,"ACDG_P015",100
"106",-50582.1871650165,"ACDG_P015",25
"107",-70195.0952622175,"ACDG_P015",50
"108",-120652.44342724,"ACDG_P015",100
"109",-28574.8837545409,"ACDG_P015",25
"110",-56150.4520424297,"ACDG_P015",50
"111",-117045.012929966,"ACDG_P015",100
"112",-46815.8581456259,"ACDG_P015",25
"113",-72771.0469815873,"ACDG_P015",50
"114",-115791.152776442,"ACDG_P015",100
"115",-41575.9205482456,"ACDG_P015",25
"116",-64375.2452800886,"ACDG_P015",50
"117",-119051.643373718,"ACDG_P015",100
"118",-45609.1611591995,"ACDG_P015",25
"119",-49893.954754374,"ACDG_P015",50
"120",-115106.603356474,"ACDG_P015",100
"121",-16251.173122959,"ACDG_P015",25
"122",-69406.3565834115,"ACDG_P015",50
"123",-115539.908395678,"ACDG_P015",100
"124",-18200.5515310515,"ACDG_P015",25
"125",-60075.5858656676,"ACDG_P015",50
"126",-99063.4076861988,"ACDG_P015",100
"127",-41178.4827471914,"ACDG_P015",25
"128",-65048.6859034955,"ACDG_P015",50
"129",-114968.961763986,"ACDG_P015",100
"130",-63161.3774918643,"ACDG_P015",25
"131",-46292.4127004998,"ACDG_P015",50
"132",-112826.17707809,"ACDG_P015",100
"133",-22827.995094903,"ACDG_P015",25
"134",-30203.4586076766,"ACDG_P015",50
"135",-114133.229557845,"ACDG_P015",100
"136",-11667.4108092688,"ACDG_P015",25
"137",-71384.8968079551,"ACDG_P015",50
"138",-99249.0066194875,"ACDG_P015",100
"139",-37271.9562150418,"ACDG_P015",25
"140",-61627.9348334687,"ACDG_P015",50
"141",-118867.677004566,"ACDG_P015",100
"142",-34335.3811603303,"ACDG_P015",25
"143",-68112.1893201704,"ACDG_P015",50
"144",-127201.897472969,"ACDG_P015",100
"145",-49232.4362348957,"ACDG_P015",25
"146",-66741.034888078,"ACDG_P015",50
"147",-124430.030022585,"ACDG_P015",100
"148",-37166.584655397,"ACDG_P015",25
"149",-48220.8907401543,"ACDG_P015",50
"150",-121515.86316176,"ACDG_P015",100
"151",-41895.0624507642,"ACDG_P015",25
"152",-73127.7436389445,"ACDG_P015",50
"153",-116353.95816182,"ACDG_P015",100
"154",-41360.8897809093,"ACDG_P015",25
"155",-72242.1745621503,"ACDG_P015",50
"156",-113574.488719407,"ACDG_P015",100
"157",-32381.3413775833,"ACDG_P015",25
"158",-64626.0801677337,"ACDG_P015",50
"159",-115486.162573106,"ACDG_P015",100
"160",-10094.4774347674,"ACDG_P015",25
"161",-63855.270783855,"ACDG_P015",50
"162",-111225.618969215,"ACDG_P015",100
"163",-36459.3797712619,"ACDG_P015",25
"164",-63496.7847707037,"ACDG_P015",50
"165",-116743.208496566,"ACDG_P015",100
"166",-50251.359753257,"ACDG_P015",25
"167",-60452.580189983,"ACDG_P015",50
"168",-125083.789858361,"ACDG_P015",100
"169",-34242.681100119,"ACDG_P015",25
"170",-62467.5430576367,"ACDG_P015",50
"171",-120128.497189099,"ACDG_P015",100
"172",-35390.2984253007,"ACDG_P015",25
"173",-72913.1622884444,"ACDG_P015",50
"174",-114350.333118578,"ACDG_P015",100
"175",-44601.1845282806,"ACDG_P015",25
"176",-53075.3602920609,"ACDG_P015",50
"177",-114736.57186698,"ACDG_P015",100
"178",-28655.420808843,"ACDG_P015",25
"179",-50485.9020646421,"ACDG_P015",50
"180",-126266.116094957,"ACDG_P015",100
"181",-44908.2571744101,"ACDG_P015",25
"182",-71532.6466764404,"ACDG_P015",50
"183",-107348.993567011,"ACDG_P015",100
"184",-36155.6621091812,"ACDG_P015",25
"185",-90344.8286831851,"ACDG_P015",50
"186",-118214.175260928,"ACDG_P015",100
"187",-19398.7075797343,"ACDG_P015",25
"188",-79393.6223686047,"ACDG_P015",50
"189",-107147.010455086,"ACDG_P015",100
"190",-38185.6695083849,"ACDG_P015",25
"191",-55896.2512091576,"ACDG_P015",50
"192",-111772.815337291,"ACDG_P015",100
"193",-36732.8453511526,"ACDG_P015",25
"194",-65515.9443146086,"ACDG_P015",50
"195",-119588.723950247,"ACDG_P015",100
"196",-43451.2525255313,"ACDG_P015",25
"197",-73237.5645056943,"ACDG_P015",50
"198",-116244.338011191,"ACDG_P015",100
"199",-43241.2880885073,"ACDG_P015",25
"200",-68205.4212676662,"ACDG_P015",50
"201",-117997.856096085,"ACDG_P015",100
"202",-16582.2894865343,"ACDG_P015",25
"203",-67779.5585305074,"ACDG_P015",50
