"","AGB_Change","Plot","PercentRemoved"
"1",-19553.8742297354,"ACDG_P015",25
"2",-27849.5757933456,"ACDG_P015",50
"3",-44008.6203987792,"ACDG_P015",100
"4",-11852.2354518996,"ACDG_P015",25
"5",-26640.3670222095,"ACDG_P015",50
"6",-39302.4330721955,"ACDG_P015",100
"7",-4420.66746007153,"ACDG_P015",25
"8",-19765.1383684681,"ACDG_P015",50
"9",-54008.3906585903,"ACDG_P015",100
"10",-11969.4502040091,"ACDG_P015",25
"11",-12541.1220523469,"ACDG_P015",50
"12",-38897.6634741544,"ACDG_P015",100
"13",1542.34093019471,"ACDG_P015",25
"14",-22409.9640155355,"ACDG_P015",50
"15",-53453.4828018297,"ACDG_P015",100
"16",-15259.8200341348,"ACDG_P015",25
"17",-5957.84472247507,"ACDG_P015",50
"18",-46977.9118673227,"ACDG_P015",100
"19",-10160.9054344185,"ACDG_P015",25
"20",-26623.266396221,"ACDG_P015",50
"21",-44826.240700404,"ACDG_P015",100
"22",-12881.1881064636,"ACDG_P015",25
"23",-29895.4690893579,"ACDG_P015",50
"24",-39692.6721665758,"ACDG_P015",100
"25",-9684.78563006019,"ACDG_P015",25
"26",-30985.3433215692,"ACDG_P015",50
"27",-48636.9873353844,"ACDG_P015",100
"28",-9332.20647786401,"ACDG_P015",25
"29",-13343.4128904725,"ACDG_P015",50
"30",-35104.2792047331,"ACDG_P015",100
"31",-8625.08131140025,"ACDG_P015",25
"32",-21682.7240042161,"ACDG_P015",50
"33",-51973.7576820286,"ACDG_P015",100
"34",-3462.24030261557,"ACDG_P015",25
"35",-16593.3764115875,"ACDG_P015",50
"36",-49558.0983361185,"ACDG_P015",100
"37",-3236.28357506686,"ACDG_P015",25
"38",-25886.395558802,"ACDG_P015",50
"39",-52634.9840427037,"ACDG_P015",100
"40",-11963.1896592311,"ACDG_P015",25
"41",-13691.5752629554,"ACDG_P015",50
"42",-47068.1486137293,"ACDG_P015",100
"43",-10954.0367627116,"ACDG_P015",25
"44",-17493.1905032803,"ACDG_P015",50
"45",-18114.6880688456,"ACDG_P015",100
"46",-1923.74235923361,"ACDG_P015",25
"47",-42351.6791032489,"ACDG_P015",50
"48",-31910.0350313011,"ACDG_P015",100
"49",-4893.24485331008,"ACDG_P015",25
"50",-10402.9549313253,"ACDG_P015",50
"51",-35528.3617076577,"ACDG_P015",100
"52",-12699.2391132465,"ACDG_P015",25
"53",-5072.15378350535,"ACDG_P015",50
"54",-34530.8621932793,"ACDG_P015",100
"55",-1007.76143435415,"ACDG_P015",25
"56",-4884.94654719922,"ACDG_P015",50
"57",-44296.2655501281,"ACDG_P015",100
"58",-7513.43584314114,"ACDG_P015",25
